dataset,selector,objective,run,solution_type,thresholds,acc,rec,prec,f1,ddp,deo
adult,topsis,deo_kl,4,post,"[0.1310492306947708, 0.6628965735435486]",0.8021970749784925,0.21882510013351134,0.9280860702151755,0.3541486603284356,0.047106660382262314,0.0036629984828720485
adult,topsis,deo_kl,4,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,5,post,"[0.15177381038665771, 0.2346370369195938]",0.8433260538680432,0.490520694259012,0.7999129109514479,0.6081271207481586,0.12927833415634454,0.039717413709813354
adult,topsis,deo_kl,5,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,6,post,"[0.10179627686738968, 0.11432095617055893]",0.847528290649196,0.5728971962616822,0.7528070175438597,0.6506444275966642,0.16101138452665467,0.0495397140196876
adult,topsis,deo_kl,6,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,7,post,"[0.16203199326992035, 0.2680671811103821]",0.8417047184170472,0.47343124165554074,0.8084815321477428,0.5971707645671943,0.12245966551954561,0.031312400512723604
adult,topsis,deo_kl,7,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,8,post,"[0.08685052394866943, 0.09769310802221298]",0.8475944676063795,0.5728971962616822,0.7530712530712531,0.6507430997876857,0.16121532049076193,0.0495397140196876
adult,topsis,deo_kl,8,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,9,post,"[0.0871971845626831, 0.09820595383644104]",0.8475944676063795,0.572630173564753,0.7532490340709519,0.6506371359223301,0.1610193861287732,0.0492263326345419
adult,topsis,deo_kl,9,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,10,post,"[0.14951029419898987, 0.7813683748245239]",0.8012044206207398,0.21415220293724965,0.929316338354577,0.3480902777777778,0.04560017148002742,0.0002972597795922183
adult,topsis,deo_kl,10,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
adult,topsis,deo_kl,11,post,"[0.041467636823654175, 0.05870412290096283]",0.8448481238832638,0.5128170894526035,0.7869289080106535,0.6209683938242664,0.13840420632535638,0.0436411862333933
adult,topsis,deo_kl,11,baseline,,0.8486863873999073,0.6026702269692924,0.7386679757813779,0.6637747224468789,0.1732941584483545,0.05800129425380729
